Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Hacking/IT Incident,Other,Unauthorized Access/Disclosure,Theft,Improper Disposal,Loss,Unknown,Name of Covered Entity clean,Year,Month,Day,quarter,dayofweek,is_weekend,weekofyear,Desktop Computer,Electronic Medical Record,Email,Laptop,Network Server,Other Portable Electronic Device,Paper/Films,Yes,No
Tri Lakes Medical Center,MS,Healthcare Provider,1489.0,2014-01-15,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Alliance Health Partners, LLC (AHP), doing business as Tri-Lakes Medical Center, discovered on September 20, 2013, that its information system, which contains protected health information (PHI), had been infected by malware viruses since July 2012.  The breach potentially affected the PHI of 3,241 individuals, including names, dates of birth, addresses, social security numbers, health claims and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  On January 27, 2014, Community Health Systems (CHS) acquired AHP and implemented its own HIPAA compliance program at the medical facility, including Privacy, Security and Breach Notification policies and anti-virus software and maintenance procedures.  On May 18, 2015, the name of the medical center was changed to “Merit Health Batesville.”  OCR obtained assurances that the CE implemented the corrective actions listed above and performed its notification obligations.  On May 1, 2017, AHP sold the medical facility and operations to a subsidiary of Curae Health (CHS), a non-profit healthcare system that specializes in assisting rural healthcare providers.  Since that time, the facility operates as “Panola Medical Center” under Curae Health’s corporate structure, policies and procedures.  OCR opened a separate review that includes the remaining CHS compliance issues.",1.0,0,0.0,0.0,0.0,0.0,0.0,Tri Lakes Medical Center,2014.0,1.0,15.0,1.0,2.0,0,3.0,0,0,0,0,1,0,0,0,1
Tri Lakes Medical Center,MS,Healthcare Provider,1489.0,2014-01-10,Hacking/IT Incident,Network Server,No,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,Tri Lakes Medical Center,2014.0,1.0,10.0,1.0,4.0,0,2.0,0,0,0,0,1,0,0,0,1
Barry University,FL,Healthcare Provider,9017.0,2013-12-31,Hacking/IT Incident,"Laptop, Network Server",No,"Barry University, the covered entity (CE), discovered on May 13, 2013, that a laptop was infected with malware.  The protected health information (PHI) for 8,741 individuals was potentially exposed, including names, dates of birth, social security numbers, driver’s license numbers, banking/credit card information, medical record numbers, health insurance information, diagnoses, and treatment information.  Due to a lengthy investigation, the CE performed its breach notification obligations outside of the 60 day timeframe required by the Breach Notification Rule.  OCR provided technical assistance to the CE on this topic.  Although late, the CE provided breach notification to HHS, affected individuals, and the media, as well as on its website.  In response to the breach, the CE retained a compliance consultant, performed a risk assessment, revised its policies and procedures, improved its training program and implemented additional technical safeguards.  OCR obtained assurances that it has implemented the corrective actions listed above.",1.0,0,0.0,0.0,0.0,0.0,0.0,Barry University,2013.0,12.0,31.0,4.0,1.0,0,1.0,0,0,0,1,1,0,0,0,1
The Good Samaritan Health Center,GA,Healthcare Provider,5000.0,2013-12-06,Hacking/IT Incident,Desktop Computer,No,"One of the covered entity's (CE) computers was infected with malware and as a result, data on the infected computer was encrypted and made inaccessible. The CE subsequently restored the infected data.  The type of protected health information (PHI) involved in the breach was clinical information and included diagnoses/conditions, lab results, medications, and other treatment information for approximately 5,000 individuals.  The CE provided breach notification to HHS,  affected individuals, and the media.  Following the breach, the CE retrained staff, implemented additional safeguards for secure file backup, and upgraded its antivirus software. In response to OCR’s investigation, the CE provided substitute notice of the breach. OCR provided the CE with technical assistance regarding the Security Rule including risk analysis and risk management.
",1.0,0,0.0,0.0,0.0,0.0,0.0,The Good Samaritan Health Center,2013.0,12.0,6.0,4.0,4.0,0,49.0,1,0,0,0,0,0,0,0,1
Ferris State University MI College of Optometry,MI,Healthcare Provider,3947.0,2013-10-23,Hacking/IT Incident,Network Server,No,"An unauthorized person evaded the network security of Ferris State University Michigan College of Optometry on December 1, 2011, and placed a malware program on the computer Ferris uses to operate its website, which had the technical ability to access its electronic files on certain network servers.  The breach of electronic protected health information (ePHI) affected approximately 3,947 individuals and included patients' names, dates of birth, Social Security numbers, addresses, diagnoses/conditions, financial claims information, clinical information, and other treatment information.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media and posted substitute notification of the breach incident on its website.  The CE created a dedicated call center regarding the breach and also offered one year of free credit monitoring to individuals whose social security number was involved in the breach.  Following the breach, the CE engaged an outside forensic security firm to conduct an internal investigation, installed the latest operating systems and patches to its network asset and web server, and applyed the latest version of antivirus and malware on its servers.  The CE verified the removal of ePHI from the application and archive files, worked with its customers to remove sensitive data, and blocked specific internet addresses from its networks.  The CE also revised its policies and procedures addressing how it administratively, technically, and physically safeguards patients’ PHI.  Additionally, the CE trained employees on its policies and procedures and documented its most recent risk analysis and corresponding risk management plan.  OCR obtained documentation evidencing that the CE implemented the corrective actions listed.   ",1.0,0,0.0,0.0,0.0,0.0,0.0,Ferris State University MI College of Optometry,2013.0,10.0,23.0,4.0,2.0,0,43.0,0,0,0,0,1,0,0,0,1
Ferris State University - MI College of Optometry,MI,Healthcare Provider,3947.0,2013-10-11,Hacking/IT Incident,Network Server,No,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,Ferris State University  MI College of Optometry,2013.0,10.0,11.0,4.0,4.0,0,41.0,0,0,0,0,1,0,0,0,1
BlackHawk,IL,Business Associate,7120.0,2013-10-09,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), MUSC Physicians & MUHA, learned on August 22, 2013, that the payment portal of its business associate (BA), Blackhawk Statement Group, had been hacked on June 30, 2013.  The breach exposed the names, addresses, email addresses, and credit care information for 7,120 individuals. The CE provided breach notification to HHS, affected individuals, and the media and posted notice on its website. In response to the breach, the CE changed its payment procedures to circumvent the BA and process credit card transactions directly with the processor. The BA patched the vulnerability in the software that was targeted by the hack and improved its network security.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA’s use and disclosure of protected health information (PHI) and required the BA to safeguard all PHI.  OCR obtained assurances that the CE implemented the corrective actions listed above. ",1.0,0,0.0,0.0,0.0,0.0,0.0,BlackHawk,2013.0,10.0,9.0,4.0,2.0,0,41.0,0,0,0,0,1,0,0,1,0
CaroMont Medical Group,NC,Healthcare Provider,1310.0,2013-10-04,Hacking/IT Incident,Email,No,"On August 8, 2013, the covered entity (CE), CaroMont Medical Group, performed an internal audit that found an unencrypted email was sent by an employee on August 5, 2013. The employee emailed a spreadsheet to her personal email containing the following protected health information (PHI) for 1,310 individuals: patients’ names, dates of birth, medical record numbers, insurance providers, insurance numbers, diagnoses, and two Medicaid/Medicare numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  In response to this incident, the CE reviewed its policies, updated its secure email policy, and required employees to attest to reviewing the new policy.  The CE trained staff on data privacy and information security, and it implemented security controls for the encryption of all external emails containing an attachment.  OCR obtained assurances that the CE implemented the corrective actions noted above.",1.0,0,0.0,0.0,0.0,0.0,0.0,CaroMont Medical Group,2013.0,10.0,4.0,4.0,4.0,0,40.0,0,0,1,0,0,0,0,0,1
Dreyer Medical Clinic,IL,Business Associate,998.0,2013-09-13,Hacking/IT Incident,Network Server,Yes,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,Dreyer Medical Clinic,2013.0,9.0,13.0,3.0,4.0,0,37.0,0,0,0,0,1,0,0,1,0
Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group,IL,Business Associate,2029.0,2013-09-13,Hacking/IT Incident,Network Server,Yes,"Advocate Health Care Network (Advocate) has agreed to a settlement with the U.S. Department of Health and Human Services, Office for Civil Rights (OCR), for multiple potential violations of the Health Insurance Portability and Accountability Act (HIPAA) involving electronic protected health information (ePHI). Advocate has agreed to pay a settlement amount of $5.55 million and adopt a corrective action plan.  This significant settlement, the largest to-date against a single entity, is a result of the extent and duration of the alleged noncompliance (dating back to the inception of the Security Rule in some instances), the involvement of the State Attorney General in a corresponding investigation, and the large number of individuals whose information was affected by Advocate, one of the largest health systems in the country. 
“We hope this settlement sends a strong message to covered entities that they must engage in a comprehensive risk analysis and risk management to ensure that individuals’ ePHI is secure,” said OCR Director Jocelyn Samuels. “This includes implementing physical, technical, and administrative security measures sufficient to reduce the risks to ePHI in all physical locations and on all portable devices to a reasonable and appropriate level.”
OCR began its investigation in 2013, when Advocate submitted three breach notification reports pertaining to separate and distinct incidents involving its subsidiary, Advocate Medical Group (""AMG""). The combined breaches affected the ePHI of approximately 4 million individuals.  The ePHI included demographic information, clinical information, health insurance information, patient names, addresses, credit card numbers and their expiration dates, and dates of birth. OCR’s investigations into these incidents revealed that Advocate failed to:
•conduct an accurate and thorough assessment of the potential risks and vulnerabilities to all of its ePHI;
•implement policies and procedures and facility access controls to limit physical access to the electronic information systems housed within a large data support center;
•obtain satisfactory assurances in the form of a written business associate contract that its business associate would appropriately safeguard all ePHI in its possession; and
•reasonably safeguard an unencrypted laptop when left in an unlocked vehicle overnight.
Advocate Health Care Network is the largest fully-integrated health care system in Illinois, with more than 250 treatment locations, including ten acute-care hospitals and two integrated children's hospitals. Its subsidiary, AMG, is a nonprofit physician-led medical group that provides primary care, medical imaging, outpatient and specialty services throughout the Chicago area and in Bloomington-Normal, Illinois.",1.0,0,0.0,0.0,0.0,0.0,0.0,Advocate Health  Hospitals Corporation  Advocate Medical Group,2013.0,9.0,13.0,3.0,4.0,0,37.0,0,0,0,0,1,0,0,1,0
